"product_name","product_url","product_in_stock","product_price","product_price_url"
"meross Smart WiFi Light Switch, Wall Switch, Compatible with Amazon Alexa, Google Assistant and IFTTT, Remote Control, Schedules, Timer, No Hub Needed - Upgrade Version 2 Pack","https://www.amazon.com/meross-Compatible-Assistant-Control-Schedules/dp/B07KXNHNCB/ref=sr_1_37?keywords=smart+light&qid=1581477706&sr=8-37","","$29.99","https://www.amazon.com/meross-Compatible-Assistant-Control-Schedules/dp/B07KXNHNCB/ref=sr_1_37?keywords=smart+light&qid=1581477706&sr=8-37"
"Smart WiFi LED Recessed Retrofit Downlight 5/6 inch, 15W Ceiling Down Lighting Compatible with Alexa,Siri and Google Home, RGBCW Multicolor Color Changing Retrofit Can Lights 2700K - 6500K No Hub","https://www.amazon.com/Recessed-Retrofit-Downlight-Compatible-Multicolor/dp/B07WS5L5LR/ref=sr_1_38?keywords=smart+light&qid=1581477706&sr=8-38","","$39.99","https://www.amazon.com/Recessed-Retrofit-Downlight-Compatible-Multicolor/dp/B07WS5L5LR/ref=sr_1_38?keywords=smart+light&qid=1581477706&sr=8-38"
"Smart Light Switch&Alexa Smart Double Switch& 2.4Ghz WIFI Light Switch With Timer and Remote Control,Schedule,Neutral Wire Needed,Works with Alexa, Google Assistant and IFTTT,Single Pole (2gang)","https://www.amazon.com/Switch-Double-Remote-Control-required/dp/B07QRRRTDM/ref=sr_1_39?keywords=smart+light&qid=1581477706&sr=8-39","","$45.99","https://www.amazon.com/Switch-Double-Remote-Control-required/dp/B07QRRRTDM/ref=sr_1_39?keywords=smart+light&qid=1581477706&sr=8-39"
"TECKIN Smart Light Bulb,LED RGB Color Changing,E27 100W 1300LM Equivalent Compatible with Alexa and Google Home,IFTTT,2900K-6000K BR30 WiFi Light Blubs(13W),1 Pack","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2900K-6000K/dp/B07RZKV7FQ/ref=sr_1_40?keywords=smart+light&qid=1581477706&sr=8-40","","$19.99","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2900K-6000K/dp/B07RZKV7FQ/ref=sr_1_40?keywords=smart+light&qid=1581477706&sr=8-40"
"Smart Table Lamp, HUGOAI Dimmable Bedside Lamps for Bedrooms, Works with Alexa & Google Home, LED Nightstand Lamp with Shades of White Lights and Vibrant Colors, No Hub Required - Grey","https://www.amazon.com/HUGOAI-Dimmable-Bedrooms-Nightstand-Required/dp/B07QK9LG1H/ref=sr_1_41?keywords=smart+light&qid=1581477706&sr=8-41","","$45.99","https://www.amazon.com/HUGOAI-Dimmable-Bedrooms-Nightstand-Required/dp/B07QK9LG1H/ref=sr_1_41?keywords=smart+light&qid=1581477706&sr=8-41"
"Govee 32.8ft LED Strip Lights Works with Alexa and Google Assistant Wireless Smart Phone APP Control Light Strip Kits Music Sync RGB Tape Lights for Room Kitchen Home Party (Not Support 5G WiFi)","https://www.amazon.com/Wireless-Control-Compatible-Assistant-Non-Waterproof/dp/B07N1BGYKB/ref=sr_1_42?keywords=smart+light&qid=1581477706&sr=8-42","In Stock.","$42.99","https://www.amazon.com/Wireless-Control-Compatible-Assistant-Non-Waterproof/dp/B07N1BGYKB/ref=sr_1_42?keywords=smart+light&qid=1581477706&sr=8-42"
"Smart Light Bulbs,TECKIN LED RGB Color Changing,E27 100W 1300LM Equivalent Compatible with Alexa and Google Home,IFTTT,2900K-6000K BR30 WiFi Light Blubs(13W),4 Pack","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2900K-6000K/dp/B07ZFSW1YJ/ref=sr_1_43?keywords=smart+light&qid=1581477706&sr=8-43","","$69.99","https://www.amazon.com/TECKIN-Changing-Equivalent-Compatible-2900K-6000K/dp/B07ZFSW1YJ/ref=sr_1_43?keywords=smart+light&qid=1581477706&sr=8-43"
"Smart Led Light Bulb, Alexa RGB Color Changing Light Bulb, TECKIN E27 A19 60W Equivalent, Compatible with Alexa, Google Home and IFTTT, Cold and Warm Light 2800K-6000K, WiFi Control Bulb (2 Packs)","https://www.amazon.com/Changing-TECKIN-Equivalent-Compatible-2800K-6000K/dp/B081JTDZXT/ref=sr_1_44?keywords=smart+light&qid=1581477706&sr=8-44","","$23.99","https://www.amazon.com/Changing-TECKIN-Equivalent-Compatible-2800K-6000K/dp/B081JTDZXT/ref=sr_1_44?keywords=smart+light&qid=1581477706&sr=8-44"
"Smart Light Switch, Treatlife 2.4Ghz Smart Switch Wi-Fi Light Switch, Neutral Wire Required, Works with Alexa and Google Assistant, Single-Pole, Schedule, Remote Control, ETL Listed, 4 PACK","https://www.amazon.com/Treatlife-Required-Assistant-Single-Pole-Schedule/dp/B07WWYQJFR/ref=sr_1_45?keywords=smart+light&qid=1581477706&sr=8-45","","$64.99","https://www.amazon.com/Treatlife-Required-Assistant-Single-Pole-Schedule/dp/B07WWYQJFR/ref=sr_1_45?keywords=smart+light&qid=1581477706&sr=8-45"
"So Undercover","https://www.amazon.com/So-Undercover-Miley-Cyrus/dp/B082N95G1B/ref=sr_1_46?keywords=smart+light&qid=1581477706&sr=8-46","","$3.99","https://www.amazon.com/So-Undercover-Miley-Cyrus/dp/B082N95G1B/ref=sr_1_46?keywords=smart+light&qid=1581477706&sr=8-46"
